"Parent Molecule";"Name";"Synonyms";"Research Codes";"Phase";"Drug Applicants";"USAN Stem";"USAN Year";"USAN Definition";"USAN Stem - Substem";"First Approval";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Indication Class";"Patent";"Drug Type";"Passes Rule of Five";"First In Class";"Chirality";"Prodrug";"Oral";"Parenteral";"Topical";"Black Box";"Availability Type";"Smiles"
"CHEMBL173373";"ETHYL PYRUVATE";"2-Oxo-Propionic Acid Ethyl Ester|CTI-01|FEMA NO. 2457|NSC-48386|PYRUVIC ACID ETHYL ESTER|PYRUVIC ACID, ETHYL ESTER|ethyl pyruvate";"CTI-01|FEMA NO. 2457|NSC-48386";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCOC(=O)C(C)=O"
"CHEMBL2397751";"SAD448";"SAD448";"";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"CCOC(=O)c1c(C)cc2nc(COC(=O)NCCO)n(-c3ccccc3S(=O)(=O)NC)c(=O)c2c1C"
"CHEMBL4297923";"RASDEGAFUSP ALFA";"CDX-1401|RASDEGAFUSP ALFA";"CDX-1401";"2.0";"";"'-fusp'";"2018";"fusion proteins";"'-fusp(-fusp)'";"";"";"";"";"";"";"";"None";"5:Oligopeptide";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL1185";"ZOLMITRIPTAN";"311-C-90|311C90|CVT-427|NSC-760383|ZOLMITRIPTAN|ZOMIG-ZMT|Zomig";"311-C-90|311C90|NSC-760383";"4.0";"Pld Acquisitions Llc|Glenmark Generics Ltd|Padagis Israel Pharmaceuticals Ltd|Sun Pharma Global Fze|Apotex Inc|Aurobindo Pharma Ltd|Alembic Pharmaceuticals Ltd|Ipr Pharmaceuticals Inc|Appco Pharma Llc|Ajanta Pharma Ltd";"'-triptan'";"1997";"antimigraine agents (5-HT1 receptor agonists); sumatriptan derivatives";"'-triptan(-triptan)'";"1997";"N02CC03";"N02CC - Selective serotonin (5HT1) agonists";"N02C - ANTIMIGRAINE PREPARATIONS";"N02 - ANALGESICS";"N - NERVOUS SYSTEM";"Antimigraine";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"1";"0";"1";"0";"Prescription Only";"CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12"
"CHEMBL4802159";"ENPATORAN";"ENPATORAN|M-5049|M5049";"M-5049|M5049";"2.0";"";"'-toran'";"2021";"toll-like receptor antagonists";"'-toran(-toran)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"N#Cc1ccc(N2C[C@H](N)C[C@H](C(F)(F)F)C2)c2cccnc12"
"CHEMBL2109475";"PG-102";"PG-102";"PG-102";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"6:Antibody";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
"CHEMBL2263632";"ASLAN-003";"ASLAN-003|ASLAN003|FARUDODSTAT";"ASLAN-003|ASLAN003";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"COc1cccc(-c2cc(F)c(Nc3ncccc3C(=O)O)c(F)c2)c1"
"CHEMBL3545108";"AZD9056";"AZD 9056|AZD-9056|AZD9056";"AZD9056";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CCCNCCCO)ccc1Cl"
"CHEMBL4297289";"BOMEDEMSTAT";"BOMEDEMSTAT|IMG-7289";"IMG-7289";"2.0";"";"'-stat'";"2021";"enzyme inhibitors";"'-stat(-stat)'";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CN1CCN(C(=O)[C@H](CCCN[C@@H]2C[C@H]2c2ccc(F)cc2)NC(=O)c2ccc(-n3ccnn3)cc2)CC1"
"CHEMBL3545347";"TXA127";"5-ILE-ANGIOTENSIN-(1-7)|ANGIOTENSIN (1-7)|ANGIOTENSIN 1-7|ANGIOTENSIN FRAGMENT 1-7|ANGIOTENSIN PEPTIDE (1-7)|ANGIOTENSIN-(1-7)|ASP-ARG-VAL-TYR-ILE-HIS-PRO|BF-ANGIOTENSIN 1-7|HUMAN ANGIOTENSIN II (1-7)|SH-HEPTAPEPTIDE-13|TXA-127|TXA127";"TXA-127|TXA127";"2.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"5:Oligopeptide";"0";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";"CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](N)CC(=O)O)C(C)C)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)O"
"CHEMBL2152646";"ORELLANINE";"ORELLANINE";"";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"[O-][n+]1ccc(O)c(O)c1-c1c(O)c(O)cc[n+]1[O-]"
"CHEMBL1729";"CISAPRIDE";"ALIMIX|CISAPRIDE|CISAPRIDE MONOHYDRATE|Cisapride|PREPULSID|PREPULSID QUICKLET|PROPULSID QUICKSOLV|Propulsid|R-51,619|R-51619";"R-51,619|R-51619";"4.0";"Janssen Pharmaceutica Products Lp|Janssen Pharmaceuticals Inc";"'-pride'";"1983";"sulpride derivatives and analogs";"'-pride(-pride)'";"1993";"A03FA02";"A03FA - Propulsives";"A03F - PROPULSIVES";"A03 - DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS";"A - ALIMENTARY TRACT AND METABOLISM";"Stimulant (peristaltic)";"None";"1:Synthetic Small Molecule";"1";"0";"Racemic Mixture";"0";"1";"0";"0";"1";"Withdrawn";"COc1cc(N)c(Cl)cc1C(=O)NC1CCN(CCCOc2ccc(F)cc2)CC1OC"
"CHEMBL33986";"BUTORPHANOL";"BUTORPHANOL|LEVO-BC-2627";"LEVO-BC-2627";"4.0";"Hospira Inc|Bristol Myers Squibb Co Pharmaceutical Research Institute|Baxter Healthcare Corp|Rising Pharma Holding Inc|Hikma Farmaceutica (Portugal) Sa|Hospira Worldwide, Inc|Hikma Farmaceutica Sa|Apothecon Inc Div Bristol Myers Squibb|Hikma Pharmaceuticals Usa Inc|Apotex Inc";"'-orphan-'";"1974";"narcotic antagonists/agonists (morphinan derivatives)";"'-orphan-(-orphan-)'";"1978";"N02AF01";"N02AF - Morphinan derivatives";"N02A - OPIOIDS";"N02 - ANALGESICS";"N - NERVOUS SYSTEM";"Analgesic; Antitussive";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"0";"0";"1";"1";"1";"Prescription Only";"Oc1ccc2c(c1)[C@@]13CCCC[C@@]1(O)[C@@H](C2)N(CC1CCC1)CC3"
"CHEMBL3833302";"PRETHCAMIDE";"G-5668|GYCOREN|MICONEN|MICOREN|PRETHCAMIDE|RESPIROT";"G-5668";"-1.0";"";"";"";"";"";"";"R07AB06";"R07AB - Respiratory stimulants";"R07A - OTHER RESPIRATORY SYSTEM PRODUCTS";"R07 - OTHER RESPIRATORY SYSTEM PRODUCTS";"R - RESPIRATORY SYSTEM";"";"None";"1:Synthetic Small Molecule";"0";"0";"Unknown";"0";"0";"0";"0";"0";"Unknown";"C/C=C/C(=O)N(CC)C(CC)C(=O)N(C)C.C/C=C/C(=O)N(CCC)C(CC)C(=O)N(C)C"
"CHEMBL5095238";"GSK-1034702";"GSK 1034702|GSK-1034702|GSK1034702";"GSK1034702";"1.0";"";"";"";"";"";"";"";"";"";"";"";"";"None";"1:Synthetic Small Molecule";"1";"0";"Achiral Molecule";"0";"0";"0";"0";"0";"Unknown";"Cc1cc(F)c2[nH]c(=O)n(C3CCN(C4CCOCC4)CC3)c2c1"
"CHEMBL1773";"CAPECITABINE";"CAPECITABINE|CAPECITABINE ACCORD|CAPECITABINE MEDAC|CAPECITABINE SUN|CAPECITABINE TEVA|CAPECITIBINE|CAPECYTABINE|CAPIIBINE|CAPTABIN|ECANSYA|NSC-759853|RO 09-1978/000|RO-09-1978000|RO-091978000|Xeloda";"NSC-759853|RO 09-1978/000|RO-09-1978000|RO-091978000";"4.0";"Msn Laboratories Private Ltd|Accord Healthcare Inc|Alkem Laboratories Ltd|Rising Pharma Holding Inc|Reliance Life Sciences Pvt Ltd|Shilpa Medicare Ltd|Dr Reddys Laboratories Ltd|Amneal Pharmaceuticals|Teva Pharmaceuticals Usa Inc|Sun Pharmaceutical Industries Ltd";"'-citabine'";"1995";"nucleoside antiviral or antineoplastic agents, cytarabine or azarabine derivatives";"'-citabine(-citabine)'";"1998";"L01BC06";"L01BC - Pyrimidine analogues";"L01B - ANTIMETABOLITES";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"Antineoplastic";"None";"1:Synthetic Small Molecule";"1";"0";"Single Stereoisomer";"1";"1";"0";"0";"1";"Prescription Only";"CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F"
"CHEMBL2108790";"TELIMOMAB ARITOX";"T-101|T101|TELIMOMAB ARITOX|Telimomab aritox";"T-101|T101";"2.0";"";"'-mab'";"";"monoclonal antibodies";"'-mab(-mab)'";"";"";"";"";"";"";"";"None";"6:Antibody";"1";"0";"Single Stereoisomer";"0";"0";"0";"0";"0";"Unknown";""
